timestamp,label,conf,x1,y1,x2,y2,cx,cy,depth_rel
1760841591.7763615,bottle,0.4052,37,236,65,313,51,274,
1760841591.7763615,chair,0.3876,256,274,358,456,307,365,
1760841591.7763615,car,0.3646,0,201,112,255,56,228,
1760841591.7763615,suitcase,0.3416,1,400,161,479,81,439,
1760841591.7763615,bottle,0.2930,13,222,45,318,29,270,
1760841591.7763615,person,0.2819,408,213,564,362,486,287,
1760841591.7763615,book,0.2670,588,363,639,396,613,379,
1760841591.8932981,person,0.8392,249,230,547,479,398,354,
1760841591.8932981,person,0.4723,410,214,564,362,487,288,
1760841591.8932981,car,0.4586,0,202,111,255,55,228,
1760841591.8932981,suitcase,0.4320,1,401,161,479,81,440,
1760841591.8932981,chair,0.3134,255,274,358,456,306,365,
1760841591.8932981,book,0.2594,588,362,640,396,614,379,
1760841591.8932981,bottle,0.2518,161,223,188,293,174,258,
1760841592.0056672,person,0.8144,244,230,544,479,394,354,
1760841592.0056672,bottle,0.5251,12,223,45,319,28,271,
1760841592.0056672,suitcase,0.4904,2,400,161,479,81,439,
1760841592.0056672,person,0.3898,408,213,564,362,486,287,
1760841592.0056672,bottle,0.3776,37,240,65,313,51,276,
1760841592.0056672,bottle,0.3646,161,223,188,294,174,258,
1760841592.0056672,book,0.3371,588,362,640,396,614,379,
1760841592.0056672,car,0.3013,0,202,112,256,56,229,
1760841592.0056672,chair,0.2851,257,274,357,450,307,362,
1760841592.1180646,person,0.8212,249,231,547,479,398,355,
1760841592.1180646,bottle,0.6628,12,223,45,320,28,271,
1760841592.1180646,bottle,0.5358,38,242,64,313,51,277,
1760841592.1180646,person,0.4692,406,213,564,362,485,287,
1760841592.1180646,suitcase,0.4420,0,401,161,479,80,440,
1760841592.1180646,book,0.3127,588,363,640,397,614,380,
1760841592.1180646,chair,0.3109,255,274,358,455,306,364,
1760841592.1180646,car,0.2978,0,202,109,255,54,228,
1760841592.2422073,person,0.8303,247,230,545,479,396,354,
1760841592.2422073,person,0.5192,407,214,564,362,485,288,
1760841592.2422073,suitcase,0.3797,7,401,161,479,84,440,
1760841592.2422073,car,0.3328,0,202,107,255,53,228,
1760841592.2422073,book,0.3265,588,362,640,396,614,379,
1760841592.2422073,bottle,0.2906,12,223,45,318,28,270,
1760841592.2422073,chair,0.2866,257,275,357,451,307,363,
1760841592.2422073,dining table,0.2851,505,354,639,479,572,416,
1760841592.344679,person,0.8239,249,230,545,479,397,354,
1760841592.344679,car,0.5233,0,202,111,255,55,228,
1760841592.344679,bottle,0.4509,13,223,45,318,29,270,
1760841592.344679,person,0.4260,408,213,564,362,486,287,
1760841592.344679,suitcase,0.4117,1,400,164,479,82,439,
1760841592.344679,book,0.3421,587,362,640,396,613,379,
1760841592.344679,chair,0.2863,257,274,357,456,307,365,
1760841592.4476829,person,0.8351,248,230,543,479,395,354,
1760841592.4476829,person,0.4792,409,213,564,362,486,287,
1760841592.4476829,bottle,0.4084,11,223,45,319,28,271,
1760841592.4476829,bottle,0.4068,38,242,64,313,51,277,
1760841592.4476829,suitcase,0.3797,1,400,163,480,82,440,
1760841592.4476829,car,0.3767,0,202,111,255,55,228,
1760841592.4476829,book,0.3292,587,362,639,396,613,379,
1760841592.4476829,chair,0.3053,257,274,357,454,307,364,
1760841592.5532043,person,0.8260,246,231,548,479,397,355,
1760841592.5532043,suitcase,0.4743,6,398,161,479,83,438,
1760841592.5532043,car,0.4374,0,201,110,255,55,228,
1760841592.5532043,person,0.3604,406,213,564,362,485,287,
1760841592.5532043,bottle,0.3163,11,223,45,319,28,271,
1760841592.5532043,chair,0.2806,256,274,358,457,307,365,
1760841592.5532043,book,0.2686,588,363,639,396,613,379,
1760841592.6834626,person,0.8334,250,231,544,479,397,355,
1760841592.6834626,car,0.4975,0,202,112,256,56,229,
1760841592.6834626,suitcase,0.3750,0,399,163,479,81,439,
1760841592.6834626,chair,0.3083,255,275,358,458,306,366,
1760841592.6834626,book,0.3071,587,362,640,396,613,379,
1760841592.6834626,bottle,0.3023,11,222,46,319,28,270,
1760841592.6834626,person,0.2971,407,213,564,362,485,287,
1760841592.7878892,person,0.8376,249,231,546,479,397,355,
1760841592.7878892,person,0.5149,409,214,564,362,486,288,
1760841592.7878892,suitcase,0.4436,5,401,161,479,83,440,
1760841592.7878892,car,0.3660,0,201,106,256,53,228,
1760841592.7878892,bottle,0.3116,12,223,45,319,28,271,
1760841592.7878892,chair,0.3038,255,276,357,455,306,365,
1760841592.7878892,bottle,0.2880,37,242,66,312,51,277,
1760841592.7878892,book,0.2680,588,362,640,397,614,379,
1760841592.8889785,person,0.8288,250,231,545,479,397,355,
1760841592.8889785,person,0.4529,408,214,564,362,486,288,
1760841592.8889785,car,0.4431,0,202,110,255,55,228,
1760841592.8889785,suitcase,0.3555,0,398,164,480,82,439,
1760841592.8889785,book,0.3380,587,362,640,397,613,379,
1760841592.8889785,chair,0.2932,255,275,357,455,306,365,
1760841592.8889785,bottle,0.2762,37,241,65,312,51,276,
1760841592.8889785,bottle,0.2688,12,223,46,318,29,270,
1760841592.8889785,bottle,0.2658,161,222,187,293,174,257,
1760841592.995762,person,0.8248,245,230,545,479,395,354,
1760841592.995762,car,0.4889,0,201,107,256,53,228,
1760841592.995762,person,0.3570,408,213,564,363,486,288,
1760841592.995762,suitcase,0.3513,0,402,161,479,80,440,
1760841592.995762,book,0.3308,588,362,640,396,614,379,
1760841592.995762,bottle,0.2955,161,223,188,293,174,258,
1760841593.1006117,person,0.8454,249,231,543,479,396,355,
1760841593.1006117,person,0.4408,407,213,564,362,485,287,
1760841593.1006117,car,0.4138,0,201,111,255,55,228,
1760841593.1006117,suitcase,0.3255,0,402,163,479,81,440,
1760841593.1006117,book,0.3074,588,362,640,397,614,379,
1760841593.1006117,remote,0.2543,568,393,621,415,594,404,
1760841593.2135212,person,0.7886,247,232,546,479,396,355,
1760841593.2135212,car,0.5134,0,201,108,255,54,228,
1760841593.2135212,person,0.5108,409,213,564,362,486,287,
1760841593.2135212,bottle,0.5024,11,223,45,319,28,271,
1760841593.2135212,suitcase,0.4769,3,400,161,479,82,439,
1760841593.2135212,bottle,0.3773,37,242,64,311,50,276,
1760841593.2135212,dining table,0.3331,505,355,639,479,572,417,
1760841593.3184457,person,0.7890,247,232,545,479,396,355,
1760841593.3184457,person,0.5392,408,213,564,362,486,287,
1760841593.3184457,car,0.3468,0,202,110,255,55,228,
1760841593.3184457,suitcase,0.3391,0,402,161,479,80,440,
1760841593.3184457,book,0.2743,588,362,640,397,614,379,
1760841593.4250333,person,0.8361,246,231,545,479,395,355,
1760841593.4250333,person,0.6607,408,214,564,362,486,288,
1760841593.4250333,suitcase,0.4008,0,402,161,479,80,440,
1760841593.4250333,book,0.3813,588,363,640,397,614,380,
1760841593.4250333,car,0.3279,0,202,110,255,55,228,
1760841593.4250333,bottle,0.2812,38,243,63,312,50,277,
1760841593.5341969,person,0.8420,246,232,548,479,397,355,
1760841593.5341969,person,0.5439,408,213,564,362,486,287,
1760841593.5341969,suitcase,0.4241,1,402,163,480,82,441,
1760841593.5341969,car,0.3620,0,201,112,255,56,228,
1760841593.5341969,bottle,0.2903,161,222,187,293,174,257,
1760841593.5341969,book,0.2826,588,362,640,396,614,379,
1760841593.6400495,person,0.8458,244,232,546,479,395,355,
1760841593.6400495,person,0.6281,410,214,564,361,487,287,
1760841593.6400495,car,0.4236,0,202,108,256,54,229,
1760841593.6400495,suitcase,0.4062,0,400,164,480,82,440,
1760841593.6400495,bottle,0.3415,161,223,188,293,174,258,
1760841593.6400495,book,0.3353,588,362,640,396,614,379,
1760841593.6400495,bottle,0.2638,12,222,45,317,28,269,
1760841593.7908714,person,0.8465,248,232,546,479,397,355,
1760841593.7908714,person,0.5384,407,214,564,362,485,288,
1760841593.7908714,car,0.4214,0,202,108,255,54,228,
1760841593.7908714,dining table,0.3266,505,355,639,479,572,417,
1760841593.7908714,suitcase,0.3033,0,398,164,479,82,438,
1760841593.9258835,person,0.8316,242,232,544,479,393,355,
1760841593.9258835,person,0.5384,408,213,564,362,486,287,
1760841593.9258835,suitcase,0.3988,0,400,163,479,81,439,
1760841593.9258835,car,0.3141,0,201,112,255,56,228,
1760841593.9258835,book,0.2668,587,363,639,396,613,379,
1760841593.9258835,dining table,0.2579,504,355,639,479,571,417,
1760841594.1576705,person,0.8558,247,232,547,479,397,355,
1760841594.1576705,person,0.4214,408,213,564,362,486,287,
1760841594.1576705,suitcase,0.4107,0,400,161,479,80,439,
1760841594.1576705,car,0.3654,0,202,110,255,55,228,
1760841594.1576705,book,0.3112,587,363,640,396,613,379,
1760841594.1576705,dining table,0.2773,506,354,639,479,572,416,
1760841594.1576705,bottle,0.2727,38,241,64,313,51,277,
1760841594.1576705,bottle,0.2722,12,222,45,318,28,270,
1760841594.2828434,person,0.8147,245,232,547,479,396,355,
1760841594.2828434,person,0.5545,408,214,564,362,486,288,
1760841594.2828434,car,0.4065,0,202,112,256,56,229,
1760841594.2828434,book,0.3021,587,362,640,396,613,379,
1760841594.2828434,suitcase,0.2842,1,400,163,479,82,439,
1760841594.2828434,dining table,0.2755,505,353,639,479,572,416,
1760841594.2828434,bottle,0.2694,38,241,65,314,51,277,
1760841594.3863082,person,0.8450,243,232,547,479,395,355,
1760841594.3863082,person,0.6311,408,214,564,362,486,288,
1760841594.3863082,suitcase,0.4446,1,397,161,479,81,438,
1760841594.3863082,bottle,0.4217,13,222,46,317,29,269,
1760841594.3863082,car,0.4118,0,202,111,255,55,228,
1760841594.3863082,book,0.3299,588,362,640,396,614,379,
1760841594.3863082,bottle,0.3069,38,242,65,313,51,277,
1760841594.4984343,person,0.8269,250,231,545,479,397,355,
1760841594.4984343,person,0.6511,410,214,564,362,487,288,
1760841594.4984343,suitcase,0.4907,2,401,161,479,81,440,
1760841594.4984343,car,0.2937,0,202,111,255,55,228,
1760841594.4984343,book,0.2740,587,363,639,397,613,380,
1760841594.6092014,person,0.8261,245,232,549,479,397,355,
1760841594.6092014,person,0.6386,408,214,564,361,486,287,
1760841594.6092014,car,0.3874,0,202,110,255,55,228,
1760841594.6092014,suitcase,0.3765,0,402,161,479,80,440,
1760841594.6092014,bottle,0.3724,12,222,46,318,29,270,
1760841594.6092014,book,0.3026,588,363,640,396,614,379,
1760841594.6092014,dining table,0.2603,505,354,639,479,572,416,
1760841594.7192817,person,0.8105,246,231,546,479,396,355,
1760841594.7192817,person,0.5474,408,213,564,362,486,287,
1760841594.7192817,suitcase,0.5041,0,401,161,479,80,440,
1760841594.7192817,car,0.4365,0,202,110,256,55,229,
1760841594.7192817,book,0.2908,587,362,640,396,613,379,
